Agency,Parent Agency*,Agency Acronym,Naming Convention,Electronic Reading Room URL,Notes,,
Saint Lawrence Seaway Development Corporation,Transportation,SLSDC,Electronic Reading Room,https://www.seaway.dot.gov/publications/electronic-reading-room,,,
Special Inspector General for Afghanistan Reconstruction,,SIGAR,Electronic Reading Room,https://www.sigar.mil/contact/foia/foia.aspx?SSR=9&SubSSR=38&Sub2SSR=24&WP=Reading%20Room,,,
Commodity Futures Trading Commission,,,Electronic Reading Room,https://www.cftc.gov/FOI/foiareadingrooms.html,,,
Office of Legal Counsel,Justice,OLC,Electronic Reading Room,https://www.justice.gov/olc/olc-foia,,,
National Archives & Records Administration,Independent,NARA,Electronic Reading Room / FOIA Library,https://www.archives.gov/foia/electronic-reading-room,,,
Federal Energy Regulatory Commission,BCC,FERC,eLibrary,https://www.ferc.gov/docs-filing/elibrary.asp?csrt=9305406203105589326,,,
Executive Office for Immigration Review,DOJ,EOIR,EOIR Library,https://www.justice.gov/eoir/freedom-information-act-foia,,,
Federal Mine Safety and Health Review Commission,BCC,FMSHR,E-Reading Room,https://www.fmshrc.gov/foia/e-reading-room,,,
National Labor Relations Board,BCC,NLRB,E-Reading Room,https://www.nlrb.gov/news-publications/more-information/foia/e-reading-room,,,
Administrative Conference of the United States,Independent,ACUS,FOIA,https://www.acus.gov/foia,,,
Center for Devices and Radiological Health,FDA,CDRH,FOIA,https://www.fda.gov/aboutfda/centersoffices/officeofmedicalproductsandtobacco/cdrh/cdrhfoiaelectronicreadingroom/default.htm#s2,,,
Department of Defense (DOD Open Government),Defense,DOD,FOIA,https://open.defense.gov/Transparency/FOIA/,,,
Department of Labor,DOL,DOL,FOIA,https://www.dol.gov/general/foia,Search by agency,,
Employee Benefits Security Administration,Labor,EBSA,FOIA,https://www.dol.gov/agencies/ebsa/about-ebsa/our-activities/public-disclosure/foia,,,
Federal Bureau of Prisons,DOJ,FBP,FOIA,https://www.bop.gov/foia/#tabs-1,,,
Institute of Museum and Library Services,Independent,IMLS,FOIA,https://www.imls.gov/about/policy/agency-reports/freedom-information-act-foia,,,
Inter-American Foundation,Independent,IAF,FOIA,https://www.iaf.gov/foia/#foia-e-reading,,,
National Capital Planning Commission,BCC,,FOIA,https://www.ncpc.gov/policies/foia/,,,
Peace Corps,Independent,,FOIA,https://www.peacecorps.gov/about/open-government/foia/,,,
Railroad Retirement Board,BCC,RRB,FOIA,https://www.rrb.gov/FOIA,,,
Small Business Administration,Independent,SBA,FOIA,https://www.sba.gov/about-sba/open-government/foia#section-header-32,,,
Surface Transportation Board,Independent,,FOIA,https://www.stb.gov/stb/docs/FOIA/foia.html,,,
TreasuryDirect,Treasury,,FOIA,https://www.treasurydirect.gov/foia.htm,,,
National Science Foundation,Independent,NSF,FOIA and Privacy Act,https://www.nsf.gov/policies/foia.jsp,,,
Mine Safety and Health Administration,Labor,MSHA,FOIA Archives,https://arlweb.msha.gov/readroom/FOIAarchive.asp,,,
Substance Abuse and Mental Health Services Administration,Health & Human Services,SAMHSA,FOIA Archives,https://www.samhsa.gov/foia,,,
Legal Services Corporation,Independent,LSC,FOIA Electronic Public Reading Room,https://www.lsc.gov/about-lsc/foia/foia-electronic-public-reading-room,,,
Center for Drug Evaluation and Research,FDA,CDER,FOIA Electronic Reading Room,https://www.fda.gov/Drugs/GuidanceComplianceRegulatoryInformation/CDERFOIAElectronicReadingRoom/default.htm,,,
