Agency,Parent Agency*,Agency Acronym,Naming Convention,Electronic Reading Room URL,Notes,,
Department of Energy,DOE,DOE,Reading Room,https://www.energy.gov/management/office-management/operational-management/freedom-information-act/reading-room,,,
Federal Retirement Thrift Investment Board,BCC,FRTIB,Reading Room,https://www.frtib.gov/ReadingRoom/index.html,,,
National Security Agency / Central Security Service,Defense,NSA/CSS,Reading Room,https://www.nsa.gov/resources/everyone/foia/reading-room/,,,
Navy,Defense,,Reading Room,http://www.secnav.navy.mil/foia/readingroom/SitePages/Home.aspx,,,
Office of Navajo and Hopi Indian Relocation,Independent,ONHIR,Reading Room,https://www.onhir.gov/readingroom/index.html,,,
Office of the Inspector General,Agriculture,OIG,Reading Room,https://www.usda.gov/oig/foia.htm,,,
Office of the Secretary,Transportation,OST,Reading Room,https://www.transportation.gov/foia/ost-electronic-reading-room,,,
Office of the Secretary/Office of the Chief Information Officer,Agriculture,"OSEC, OCIO",Reading Room,https://www.dm.usda.gov/foia/OCIOReading.htm,"FOIA services for USDA's Research, Education, and Economics (REE) agencies:",,
Executive Services Directorate,Defense,ESD,"Reading Room, FOIA Library",https://www.esd.whs.mil/FOID/Reading-Room/,,,
Nuclear Regulatory Commission,BCC,NRC,Recent FOIA Requests,https://www.nrc.gov/reading-rm/foia/recent-request.html,,,
U.S. African Development Foundation,Independent,USADF,Recent Reports,https://www.usadf.gov/oversight/,,,
Millennium Challenge Corporation,Independent,MCC,Resources,https://www.mcc.gov/resources?fwp_resource_type=foia,n/a,,
Office of the Solicitor,Interior,,Solicitor's Opinions,https://www.doi.gov/solicitor/opinions,does not mention fOIA,,
Federal Bureau of Investigation ,DOJ,FBI,The Vault,https://vault.fbi.gov/frequently-requested,,,
Department of State,State,,Virtual Reading Room,https://foia.state.gov/Search/Search.aspx,,,
Attorney General's Office,,,FOIA Library,https://www.justice.gov/oip/available-documents-oip,,,
Bureau of the Fiscal Service,,,Electronic Reading Room,https://fiscal.treasury.gov/foia-readingroom.html,,,
,,,,,,,
,* BCC,"Board, Commission and Commitees",,,,,
,Independent,Independent Agency of the Executive Branch,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
